epoch,train_accuracy,val_accuracy
1,0.832811939829389,0.8325026284023208
2,0.8353165930822459,0.8348389860207935
3,0.8494605173336738,0.8467544098750048
4,0.8561248594201973,0.850258946302714
5,0.8642183271862922,0.8546980257778124
6,0.8744824944381965,0.8589618784315253
7,0.8831652923814342,0.860655737704918
8,0.8939844122168146,0.862193839803746
9,0.9040472249915283,0.862193839803746
10,0.9135992849460517,0.8595070285425023
11,0.9231464338157656,0.8589424087847046
12,0.9312988345995747,0.858280440792804
13,0.9393382804327648,0.8578521085627506
14,0.9470732390077644,0.8566839297535143
15,0.9573717838533353,0.8538218916708851
16,0.9654259629409541,0.8509598535882559
17,0.9679011496849539,0.8549121918928391
